Type,Method,ComponentArrangement,Managed,Managed_ArcheType,Native,Native_ArcheType,Native_ArcheType_Continous
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x1,36.196,21.740,28.214,19.342,25.340
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x2,39.532,25.807,28.868,20.024,26.418
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Shared_x1,36.780,21.905,29.643,19.355,25.320
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Shared_x2,39.250,26.058,28.031,19.925,25.998
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x1_Shared_x1,39.041,25.407,27.895,19.987,26.044
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x1_Shared_x2,37.700,30.388,27.961,19.989,26.072
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x2_Shared_x1,38.034,30.560,28.201,20.056,26.133
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x2_Shared_x2,38.547,34.301,28.095,20.278,26.130
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x1,39.698,80.014,249.889,155.657,163.038
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x2,57.765,93.763,329.092,173.936,175.594
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Shared_x1,40.152,87.851,254.544,156.013,161.351
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Shared_x2,58.081,98.161,320.515,167.196,176.089
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x1_Shared_x1,58.657,97.293,330.416,167.459,173.169
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x1_Shared_x2,73.009,108.466,398.169,175.515,182.627
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x2_Shared_x1,72.650,107.554,398.228,175.919,180.322
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x2_Shared_x2,83.182,118.889,451.335,189.063,192.257
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x1,145.937,25.344,261.770,242.724,241.684
