Type,Method,ComponentArrangement,Managed,Managed_ArcheType,Native,Native_ArcheType,Native_ArcheType_Continous
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x1,36.245,22.453,26.062,19.686,25.470
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x2,39.909,26.261,25.892,20.193,26.245
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Shared_x1,36.274,21.654,26.295,19.636,25.655
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Shared_x2,39.789,26.235,26.485,20.229,26.289
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x1_Shared_x1,40.209,25.894,26.748,20.151,26.257
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x1_Shared_x2,38.017,30.524,26.361,20.251,26.279
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x2_Shared_x1,37.658,30.985,25.817,20.386,26.361
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x2_Shared_x2,38.858,34.722,25.850,20.294,26.304
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x1,40.062,84.132,243.380,157.849,163.903
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x2,57.947,98.662,313.366,170.239,176.043
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Shared_x1,40.251,86.116,241.498,159.439,161.574
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Shared_x2,59.256,101.672,312.070,172.934,176.248
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x1_Shared_x1,58.498,95.574,312.152,170.354,173.850
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x1_Shared_x2,73.157,107.534,371.154,179.458,182.176
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x2_Shared_x1,72.830,107.771,369.311,180.292,182.017
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x2_Shared_x2,83.354,122.214,416.103,193.956,193.906
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x1,144.777,25.563,252.405,241.752,244.311
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x2,161.670,42.040,481.394,487.629,476.813
EcsContext_EntityComponentGetTest,GetAllComponents,Shared_x1,145.582,26.451,260.273,247.606,253.893
EcsContext_EntityComponentGetTest,GetAllComponents,Shared_x2,167.025,45.723,497.157,477.714,484.741
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x1_Shared_x1,165.551,42.407,489.561,472.429,473.768
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x1_Shared_x2,194.277,63.270,716.223,711.322,718.995
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x2_Shared_x1,191.482,60.102,714.073,698.322,716.367
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x2_Shared_x2,193.659,78.011,960.555,928.873,957.541
EcsContext_EntityComponentGetTest,GetComponent,Normal_x1,25.990,96.136,47.434,58.108,59.847
EcsContext_EntityComponentGetTest,GetComponent,Normal_x2,51.349,188.917,82.594,118.777,122.498
EcsContext_EntityComponentGetTest,GetComponent,Shared_x1,26.190,94.130,45.889,57.870,58.558
EcsContext_EntityComponentGetTest,GetComponent,Shared_x2,50.827,192.256,81.856,119.662,119.519
EcsContext_EntityComponentGetTest,GetComponent,Normal_x1_Shared_x1,50.880,188.560,81.642,120.158,121.134
EcsContext_EntityComponentGetTest,GetComponent,Normal_x1_Shared_x2,76.459,288.896,118.646,183.127,186.076
EcsContext_EntityComponentGetTest,GetComponent,Normal_x2_Shared_x1,75.817,290.663,116.576,182.848,188.375
EcsContext_EntityComponentGetTest,GetComponent,Normal_x2_Shared_x2,102.233,391.229,156.861,252.999,257.700
EcsContext_EntityComponentGetTest,HasComponent,Normal_x1,20.664,64.548,32.022,24.669,24.671
EcsContext_EntityComponentGetTest,HasComponent,Normal_x2,39.192,129.194,48.190,51.250,51.182
EcsContext_EntityComponentGetTest,HasComponent,Shared_x1,20.479,64.127,32.591,24.610,24.676
EcsContext_EntityComponentGetTest,HasComponent,Shared_x2,39.302,123.508,48.529,54.786,51.611
EcsContext_EntityComponentGetTest,HasComponent,Normal_x1_Shared_x1,39.298,129.775,48.188,51.064,51.594
EcsContext_EntityComponentGetTest,HasComponent,Normal_x1_Shared_x2,58.865,195.327,67.012,79.121,79.696
EcsContext_EntityComponentGetTest,HasComponent,Normal_x2_Shared_x1,59.266,197.136,67.195,79.151,79.729
EcsContext_EntityComponentGetTest,HasComponent,Normal_x2_Shared_x2,78.760,268.837,85.202,109.667,110.147
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x1,75.365,145.203,53.836,246.686,258.666
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x2,184.944,523.048,94.448,555.758,729.811
EcsContext_EntityComponentLifeTest,AddComponent,Shared_x1,75.440,180.999,51.404,345.963,362.621
