Type,Method,CompArr,ReadWrite,Mean,,
EcsContext_GetComponent,GetComponent_Entity,?,?,178.834,,
EcsContext_GetComponent,GetComponents_EntityArcheType,?,?,4.999,,
EcsContext_GetComponent,GetComponents_EntityQuery,?,?,5.065,,
EcsContext_UpdateSharedComponent,UpdateSharedComponent_EntityArcheType,?,?,4.603,,
EcsContext_UpdateSharedComponent,UpdateSharedComponent_EntityQuery,?,?,6.748,,
EcsContext_CreateEntity,CreateEntities,Normal_x4,?,16.38,,
EcsContext_CreateEntity,CreateEntities,Managed_x4,?,39.25,,
EcsContext_CreateEntity,CreateEntities,Shared_x4,?,9.932,,
EcsContext_CreateEntity,CreateEntities_Reuse,Normal_x4,?,9.744,,
EcsContext_CreateEntity,CreateEntities_Reuse,Managed_x4,?,15,,
EcsContext_CreateEntity,CreateEntities_Reuse,Shared_x4,?,7.47,,
EcsContext_CreateEntity,CreateEntity,Normal_x4,?,230.808,,
EcsContext_CreateEntity,CreateEntity,Managed_x4,?,264.741,,
EcsContext_CreateEntity,CreateEntity,Shared_x4,?,136.927,,
EcsContext_CreateEntity,CreateEntity_Reuse,Normal_x4,?,202.2,,
EcsContext_CreateEntity,CreateEntity_Reuse,Managed_x4,?,216.274,,
EcsContext_CreateEntity,CreateEntity_Reuse,Shared_x4,?,121.762,,
EcsContext_CreateEntity,DestroyEntities,Normal_x4,?,62.945,,
EcsContext_CreateEntity,DestroyEntities,Managed_x4,?,85.057,,
EcsContext_CreateEntity,DestroyEntities,Shared_x4,?,48.498,,
EcsContext_CreateEntity,DestroyEntities_Reuse,Normal_x4,?,61.604,,
EcsContext_CreateEntity,DestroyEntities_Reuse,Managed_x4,?,83.012,,
EcsContext_CreateEntity,DestroyEntities_Reuse,Shared_x4,?,46.344,,
EcsContext_CreateEntity,DestroyEntity,Normal_x4,?,56.999,,
EcsContext_CreateEntity,DestroyEntity,Managed_x4,?,79.735,,
EcsContext_CreateEntity,DestroyEntity,Shared_x4,?,45.232,,
EcsContext_CreateEntity,DestroyEntity_Reuse,Normal_x4,?,54.57,,
EcsContext_CreateEntity,DestroyEntity_Reuse,Managed_x4,?,78.552,,
EcsContext_CreateEntity,DestroyEntity_Reuse,Shared_x4,?,43.109,,
EcsContext_Transfer,TransferEntities_NoDestroy,Normal_x4,?,155.537,,
EcsContext_Transfer,TransferEntities_NoDestroy,Managed_x4,?,214.405,,
EcsContext_Transfer,TransferEntities_NoDestroy,Shared_x4,?,128.438,,
EcsContext_Transfer,TransferEntityArcheType_NoDestroy,Normal_x4,?,9.973,,
EcsContext_Transfer,TransferEntityArcheType_NoDestroy,Managed_x4,?,12.034,,
EcsContext_Transfer,TransferEntityArcheType_NoDestroy,Shared_x4,?,7.646,,
EcsContext_Transfer,TransferEntityQuery_NoDestroy,Normal_x4,?,36.735,,
EcsContext_Transfer,TransferEntityQuery_NoDestroy,Managed_x4,?,94.213,,
EcsContext_Transfer,TransferEntityQuery_NoDestroy,Shared_x4,?,13.091,,
EcsContext_Transfer,TransferEntity_NoDestroy,Normal_x4,?,210.765,,
EcsContext_Transfer,TransferEntity_NoDestroy,Managed_x4,?,271.774,,
EcsContext_Transfer,TransferEntity_NoDestroy,Shared_x4,?,484.583,,
EcsContext_UpdateComponent,UpdateComponent_Entity,Normal_x4,?,241.026,,
EcsContext_UpdateComponent,UpdateComponent_Entity,Managed_x4,?,244.343,,
EcsContext_UpdateComponent,UpdateComponent_Entity,Shared_x4,?,"1,032.58",,
EntityQueryForEachTests,ForEach,?,R0W0,10.341,,
EntityQueryForEachTests,ForEach,?,R0W4_Normal_x4,83.194,,
EntityQueryForEachTests,ForEach,?,R4W0_Normal_x4,80.985,,
EntityQueryForEachTests,ForEach,?,R0W4_Managed_x4,83.86,,
EntityQueryForEachTests,ForEach,?,R4W0_Managed_x4,81.457,,
EntityQueryForEachTests,ForEach,?,R0W4_Shared_x4,908.343,622.13,451.46
EntityQueryForEachTests,ForEach,?,R4W0_Shared_x4,22.037,,
