Name,Time,ParallelTime,Memory MB
EcsContext_ComponentLife_AddComponent_Shared,413,562,1226.06
EcsContext_ComponentLife_AddComponent_SharedX2,847,601,1421.42
EcsContext_ComponentLife_AddComponent_SharedX3,1008,653,1380.27
EcsContext_ComponentLife_AddComponent_Standard,295,463,1518.7
EcsContext_ComponentLife_AddComponent_StandardX2,462,561,1428.03
EcsContext_ComponentLife_AddComponent_StandardX3,462,479,1399.37
EcsContext_ComponentLife_AddRemoveComponent_Unique,1084,-1,516.48
EcsContext_ComponentLife_AddRemoveComponent_UniqueX2,2927,-1,168.24
EcsContext_ComponentLife_AddRemoveComponent_UniqueX3,4838,-1,167.27
EcsContext_ComponentLife_RemoveAllComponents,139,299,1291.11
EcsContext_ComponentLife_RemoveComponent_Shared,330,365,1361.64
EcsContext_ComponentLife_RemoveComponent_SharedX2,1700,1357,1505.06
EcsContext_ComponentLife_RemoveComponent_SharedX3,3096,2918,1500.46
EcsContext_ComponentLife_RemoveComponent_Standard,329,388,1397.21
EcsContext_ComponentLife_RemoveComponent_StandardX2,1280,1136,1230.19
EcsContext_ComponentLife_RemoveComponent_StandardX3,2257,2094,1572.06
EcsContext_ComponentLife_ReplaceComponent_Shared,120,12,1149.43
EcsContext_ComponentLife_ReplaceComponent_SharedX2,3311,2073,1426.76
EcsContext_ComponentLife_ReplaceComponent_SharedX3,5766,3786,1380.62
EcsContext_ComponentLife_ReplaceComponent_Standard,127,13,1588.43
EcsContext_ComponentLife_ReplaceComponent_StandardX2,315,29,1176.72
EcsContext_ComponentLife_ReplaceComponent_StandardX3,467,44,1338.46
EcsContext_ComponentLife_ReplaceComponent_Unique,123,-1,565.34
EcsContext_ComponentLife_ReplaceComponent_UniqueX2,298,-1,168.21
EcsContext_ComponentLife_ReplaceComponent_UniqueX3,441,-1,168.21
EcsContext_EcsContext_FilterAll,173,314,190.06
EcsContext_EcsContext_FilterAll_GroupWith,754,1065,175.96
EcsContext_EcsContext_FilterAll_GroupWithX10,892,1874,176.3
EcsContext_EcsContext_FilterAll_GroupWithX2,655,1126,176.03
EcsContext_EcsContext_FilterOne,166,297,189.85
EcsContext_EcsContext_FilterOne_GroupWith,759,1050,176.16
